baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	KO
1138.10954760306	0.504791049558096	0.329844529991388	1.53039084677644	0.125920013276413	NA	K01661
11184.0107981105	0.131219907892664	0.120947782329091	1.08493025143382	0.277952548305766	0.382428857446458	K02548
490.562501010186	0.565900748976484	0.489024262291886	1.15720382936484	0.247189093588733	NA	K02549
13612.6411128294	0.242791044088587	0.161477362568796	1.50356087210149	0.132694472300821	0.232472206084408	K03183
233.428249582532	-0.0109496035827399	0.349617915647515	-0.0313187714149618	0.975015320326258	NA	K08680
0	NA	NA	NA	NA	NA	K01851
698.485972689479	0.635370532997747	0.368239648312816	1.7254267320449	0.0844505972357857	NA	K02361
354.091040667854	0.262309282971673	0.50833016658141	0.516021476230181	0.605839409644106	NA	K02552
1103.01629259348	0.3549696547597	0.25867248279307	1.3722745107127	0.169977997451069	NA	K01911
3343.80446673832	0.578332598676618	0.234140563473698	2.47002309252402	0.0135104330355791	NA	K02551
120.572420357111	0.872169904036411	2.45248120108512	0.355627559408207	0.722119501765135	NA	K12073
