baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	KO
1173.35781499414	-0.317276434874357	0.262125426138848	-1.21039930978041	0.226125706629617	0.584689045920104	K01661
9512.20047827454	-0.10120897914539	0.13178340545965	-0.767994868491833	0.442490233542433	0.744658494053169	K02548
499.608699116496	0.332990952313753	0.42461870899133	0.784211682770086	0.432915911141708	0.738088946439569	K02549
12568.1632806078	0.0811711686023118	0.139855167367806	0.580394490457684	0.561648619695245	0.820800866638299	K03183
218.097404397934	-0.880062500940983	0.375903451131029	-2.3411929267822	0.0192222312257871	0.216158982838649	K08680
0	NA	NA	NA	NA	NA	K01851
828.391952389174	-0.496376941151596	0.28007518127666	-1.77229891948645	0.0763449505157511	0.359070760726369	K02361
299.810942702396	0.0965046682660876	0.477958137319094	0.201910294502757	0.839986853977128	0.924525145490886	K02552
1046.64133907131	-0.123681365603646	0.244956410533722	-0.5049117323942	0.613620833325644	0.829642862830918	K01911
3287.74220939615	-0.061470934349125	0.188552318980347	-0.326015265585421	0.744412805317082	0.884876131088004	K02551
81.6215416439633	3.98585299704602	1.85179155640651	2.15243070055938	0.0313634478787952	0.253885150832972	K12073
