baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	KO
1061.55155899126	0.00227268395920952	0.229577582358145	0.00989941585700689	0.992101537933091	0.995150078449082	K01661
9554.57198244439	0.184118143220328	0.0975222539736246	1.88796029335134	0.0590312812020358	0.311656715936531	K02548
508.574046569938	-0.484906958539417	0.358528971400773	-1.35249030683597	0.176218517562949	0.511045363309625	K02549
12179.6093855541	0.151905228691404	0.115379507790271	1.31657026105127	0.187982712680752	0.53178840992063	K03183
207.380707136629	-0.434779623973919	0.273879647982735	-1.58748423687666	0.112403014292538	0.405390953604857	K08680
0	NA	NA	NA	NA	NA	K01851
703.311688616112	0.254898263193037	0.267394898508163	0.953265244083387	0.340455696532762	0.598906809396452	K02361
298.577842534598	-0.776119333541393	0.359290599329766	-2.16014372485446	0.0307615450202296	0.237654497945456	K02552
984.089961447863	-0.155680397767567	0.193529874442826	-0.80442566407782	0.421151184400738	0.670597561789256	K01911
3041.1035512705	0.246108716034989	0.168844357381224	1.45760699292612	0.144948901036399	0.460854780244897	K02551
22.4661143305664	-1.44531717702251	1.40118417477663	-1.03149693169559	0.30230784634146	0.57124320080564	K12073
