OTU	KW_Statistic	DF	P_value	Test	Taxonomy	p.value.fdr	p.value.hochberg	p.value.bonferonni
Zotu314	1.91514822492025	5	0.860756941328639	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Lachnospiraceae_NK4A136_group	0.903859262807138	0.903859262807138	1
Zotu315	15.5010618766795	5	0.00842279149935116	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae	0.217468403016493	0.217468403016493	1
Zotu316	1.46711891606033	5	0.916832806635384	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.943575875949502	0.943575875949502	1
Zotu317	4.81339846475919	5	0.439075300335397	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.700595107702593	0.700595107702593	1
Zotu318	3.36898842908391	5	0.643297269626896	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Ruminococcaceae_UCG_014,s:uncultured_bacterium	0.776258407422121	0.776258407422121	1
Zotu319	7.75688078684932	5	0.170153201594001	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	0.506631157746138	0.506631157746138	1
Zotu32	8.79689001246011	5	0.117444974650407	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	0.439453678276082	0.439453678276082	1
Zotu320	7.21975308641979	5	0.204803273344129	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Lachnospiraceae_NK4A136_group,s:uncultured_bacterium	0.540844120959773	0.540844120959773	1
Zotu321	2.00305301137941	5	0.848722432436594	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.899180353411346	0.899180353411346	1
Zotu322	13.8328056754778	5	0.0167070720673759	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.236196509093035	0.236196509093035	1
Zotu323	6.02010609770316	5	0.304267421919867	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.639122574085647	0.639122574085647	1
Zotu324	1.36548319769027	5	0.928051475487611	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.951212829006665	0.951212829006665	1
Zotu325	10.066105692819	5	0.0733836932920728	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Peptococcaceae,g:uncultured	0.353002148925344	0.353002148925344	1
Zotu326	12.0541875786513	5	0.0340527822614646	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.266882894504578	0.266882894504578	1
Zotu327	5.48513381519826	5	0.359578765964019	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.692974612076289	0.692974612076289	1
Zotu328	8.18382520048051	5	0.146391422383654	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	0.479144129362214	0.479144129362214	1
