pathway	M100	M101	M102	M103	M104	M105	M106	M107	M108	M109	M10	M110	M111	M113	M114	M116	M117	M11	M12	M13	M14	M15	M16	M17	M18	M19	M1	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M2	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M3	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M4	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M5	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M6	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M7	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M8	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M9
PWY-5121	10022.0784	13226.7771	56409.8466	45739.5226	31712.4927	121387.4525	100019.2427	84948.1977	45380.0049	74700.0631	45334.877	64602.4353	43684.5077	30452.7845	39127.0272	56637.8001	39954.4739	57914.2657	37838.2099	24122.3352	27011.536	37986.8417	100280.0778	26921.5323	43651.2452	22873.2356	44054.1125	68899.916	1391.8824	44814.0169	60914.967	39162.2861	13794.7299	24395.4556	19753.6648	51081.9549	16628.8323	23615.8944	489.9039	17399.7448	49072.4167	37812.1806	26852.4512	20078.3531	12838.8854	42902.1491	40588.1355	51833.5324	39415.5799	53715.9399	12203.8032	27341.2761	22774.6985	20714.158	47467.2961	14985.1282	37918.8968	39463.5652	18905.6887	27495.9389	31401.6459	38674.6749	26605.8108	60159.0152	12734.5632	98429.3095	141903.0349	34263.7992	39920.1132	29754.7772	16766.0381	12330.6835	29560.8385	22366.5157	21338.5262	97698.961	36929.0661	26045.671	48091.4541	23597.113	35404.0521	39761.5041	87147.5538	132215.6869	35913.9288	96738.1304	29139.9124	61193.2857	85133.2119	38042.0448	116055.8602	115041.0352	36384.4149	153217.6652	93516.6891	127913.8501	116608.3615	67099.4337	176162.7437	114651.7023	115148.2582	150541.2517	56229.5038	161633.2462	61280.582	62752.9272	58921.2841	44362.6549	45335.4771	62538.233	58693.9073	37078.7158	29239.9142	31982.4665	35343.1774
PWY-5154	5195.0103	6832.8595	26897.9469	18393.1273	13429.0379	15012.1051	27158.833	40134.477	18075.5669	26096.6178	24049.8469	29610.7745	21341.092	12213.5256	19902.701	31060.8032	20860.5247	34974.0893	19635.6849	13155.8652	15525.7216	24323.6315	55976.0542	12579.1007	24886.3586	12729.8893	18673.5352	33366.0911	228.9763	24584.9234	24873.7876	26352.2658	5983.8819	12450.9858	9191.719	24236.2672	9349.947	13853.1815	102.47	7595.6924	19342.6747	13502.7912	13657.5906	10433.0824	4871.1973	25126.9126	19575.9205	25543.8177	22709.4457	24866.1873	5382.3741	12247.652	9949.0033	8304.9981	21992.6268	5607.3397	16867.466	22654.6024	9505.4964	15774.3129	14094.13	23965.8569	10734.1262	30753.3476	8221.9619	59026.1122	77402.5678	14451.2883	23596.0678	15235.2796	8951.058	9339.7723	14979.9017	13136.6203	12941.4458	61860.6236	17057.4854	13510.9438	21517.5788	11398.1429	20081.4287	17551.148	33224.5873	74268.6864	20537.7279	57736.153	18331.1371	34078.6335	49439.5027	20225.0248	61797.0568	60454.4924	19639.4052	95996.212	53473.4227	75471.6561	74923.0269	25203.1407	95781.9862	56667.8723	50663.7573	76599.6419	23803.5958	76833.8368	26111.4708	31476.4467	24822.9215	20172.4516	12368.7711	23963.7231	30338.5261	13618.3212	14696.0909	15850.8102	16042.3695
PWY-5177	573.5217	937.9303	4620.7161	3230.9206	2182.1527	4505.0273	5940.5991	8125.8752	3142.7892	4553.6877	2706.3082	3254.7341	3474.5781	2103.5308	2666.0158	4072.5269	3081.0644	4989.2931	1803.1464	1661.2422	1404.8011	1998.1351	5451.969	2047.4625	2869.8227	776.6529	2543.0578	2347.3081	52.8347	1341.2006	1919.1599	1602.5002	726.4759	1443.9634	1690.0224	4147.4641	639.6372	1547.1107	50.7874	1767.6967	4717.9772	2451.8736	1908.1929	1369.4392	495.334	5369.7573	2799.395	2310.0931	4251.3028	4633.7662	760.6258	2466.9193	990.8415	1388.4084	1227.4401	550.5208	2012.788	2408.7669	2184.8374	968.7542	2755.3298	2168.8665	1595.0222	3369.4601	814.7082	7731.217	8856.5224	2010.4112	1968.609	1317.3906	1445.5047	2866.4751	1214.1835	1245.1532	1053.1589	3344.8568	2099.3258	1421.8427	2202.5143	1181.4105	2886.4438	2769.908	4691.3151	7110.5497	1973.4709	5436.4582	1132.3245	3387.7611	4560.4331	3088.7048	8537.164	6733.1051	1830.5218	8978.9135	3545.6105	11540.6553	5408.0682	4330.9334	9793.3253	3701.2377	8441.2432	15879.0845	3915.6121	27458.303	5198.0407	4400.8114	2909.7415	3804.1311	2276.5414	4674.0615	3984.1523	3240.1558	2963.2678	2846.5612	1678.058
PWY-5178	0.0	8.5375	43.8325	38.7777	2.9351	5.9195	83.4471	0.0	9.2592	13.8343	38.7236	0.0	0.0	0.0	36.8107	0.0	6.2595	41.3996	0.0	40.3706	0.0	5.747	3.9487	0.0	258.8531	0.0	0.0	30.5075	0.0	0.0	4.2538	0.0	11.084	0.0	1.751	48.4542	0.0	0.0	0.0	11.7303	1.9486	15.7076	1.9507	0.0	2.4253	506.4479	14.8812	141.2576	0.0	105.9739	0.0	0.0	0.0	13.109	0.0	0.0	0.0	26.2084	54.2315	0.0	0.0	0.0	37.8131	35.2395	0.0	359.7699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.8434	1.9381	0.0	7.7303	0.0	24.7231	8.0205	837.4704	88.462	0.0	0.0	1.6097	0.0	12.2774	7.1187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	447.9458	2.4836	1.987	275.8667	0.0	7.0892	198.8132	202.9737	0.0	22.935	0.0	418.668	0.0	13.3892	46.1589	24.2696	5.4267
PWY-5180	0.0	101.1711	185.3149	1201.3853	76.3621	195.2856	2889.1809	0.0	91.209	1370.8593	583.5612	100.0346	5032.6811	48.1532	835.5588	0.0	28.1543	76.6306	0.0	180.6615	0.0	24.7479	17.7728	0.0	456.8447	0.0	0.0	2505.5446	0.0	58.5956	127.629	0.0	54.566	0.0	14.3341	117.1952	0.0	0.0	38.0266	317.9762	25.9649	373.1284	54.7389	0.0	90.0262	3488.5952	97.5914	1459.2239	0.0	1322.2553	0.0	0.0	0.0	60.8196	0.0	0.0	0.0	69.4405	396.3874	0.0	0.0	0.0	76.1561	407.8194	0.0	9619.8652	0.0	0.0	0.0	0.0	0.0	535.9355	38.287	0.0	0.0	482.3181	107.717	0.0	106.2682	0.0	49.5689	15.7811	10822.0783	1837.4075	0.0	0.0	21.9626	0.0	90.8512	14.9423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1959.1884	174.4104	144.074	3518.644	0.0	17.9926	3262.6722	699.0685	0.0	133.9124	0.0	8729.8549	0.0	112.8714	155.4852	590.3126	16.1564
PWY-5181	0.0	0.7577	175.9659	0.7935	0.0	0.0	5.4028	17.6661	0.0	1.4031	1.5703	0.0	0.0	0.0	0.0	0.0	0.0	9.0186	0.0	0.0	0.0	0.3716	0.0	0.0	122.1237	0.0	0.0	64.9433	0.0	0.0	2.4055	0.0	0.0	0.456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9088	15.3492	0.0	0.0	0.0	44.7143	0.0	0.0	0.0	0.0	0.0	0.0	1.7669	0.0	12.5635	0.6314	0.0	0.0	0.0	0.3822	0.1848	294.1437	3.4193	34.49	0.2285	0.0	0.6667	656.444	0.0	2.6132	0.0	9.0572	0.0	0.0	0.5576	0.0	0.0	0.0	86.6748	22.5163	0.0	0.0	0.0	0.0	3.8722	0.0	2.5966	11.5694	0.0	1.1361	0.0	0.0	0.0	0.0	0.3824	2.5074	0.0	0.0	0.6077	0.0	7.4745	3.1762	0.0	0.0	0.0	0.7988	0.0	0.0	0.0	0.0	0.0
PWY-5182	0.0	101.1711	185.3149	1201.3853	76.3621	195.2856	2889.1809	0.0	91.209	1370.8593	583.5612	100.0346	5032.6811	48.1532	835.5588	0.0	28.1543	76.6306	0.0	180.6615	0.0	24.7479	17.7728	0.0	456.8447	0.0	0.0	2505.5446	0.0	58.5956	127.629	0.0	54.566	0.0	14.3341	117.1952	0.0	0.0	38.0266	317.9762	25.9649	373.1284	54.7389	0.0	90.0262	3488.5952	97.5914	1459.2239	0.0	1322.2553	0.0	0.0	0.0	60.8196	0.0	0.0	0.0	69.4405	396.3874	0.0	0.0	0.0	76.1561	407.8194	0.0	9619.8652	0.0	0.0	0.0	0.0	0.0	535.9355	38.287	0.0	0.0	482.3181	107.717	0.0	106.2682	0.0	49.5689	15.7811	10822.0783	1837.4075	0.0	0.0	21.9626	0.0	90.8512	14.9423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1959.1884	174.4104	144.074	3518.644	0.0	17.9926	3262.6722	699.0685	0.0	133.9124	0.0	8729.8549	0.0	112.8714	155.4852	590.3126	16.1564
PWY-5183	0.0	1.1746	53.6397	1.2618	0.0	0.0	8.4151	0.0	0.0	2.3406	2.4729	0.0	0.0	0.0	0.0	0.0	0.0	13.028	0.0	0.0	0.0	0.5774	0.0	0.0	154.2563	0.0	0.0	27.0219	0.0	0.0	3.0217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6043	24.399	0.0	0.0	0.0	61.561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.4759	0.0	0.0	0.0	0.0	0.6114	0.0	331.2417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.7562	0.0	0.0	0.9364	0.0	0.0	0.0	135.8996	16.7275	0.0	0.0	0.0	0.0	5.3271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6149	2.5963	0.0	0.0	0.0	0.0	11.8179	5.0613	0.0	0.0	0.0	1.2828	0.0	0.0	0.0	0.0	0.0
PWY-5188	4795.1328	5785.3245	28868.4869	23461.6956	16210.3514	85213.8014	66960.6079	42516.747	24309.1504	46178.4478	21648.5578	31385.2314	24560.1704	17287.8182	19758.1845	18149.6438	17527.1988	25455.761	18339.2006	11978.2024	12115.9756	13543.4118	41638.519	14834.9233	21684.0413	11571.2208	23149.7203	36252.733	1445.2982	15673.1477	35948.3593	12660.5636	7116.0432	12258.3431	9183.9656	24374.9423	7459.5151	10195.8838	411.5717	9219.8563	26925.8969	22509.2997	12539.0819	7998.5139	6153.3918	19359.8081	19061.8079	26774.9306	19023.1261	26581.1851	5799.4082	15173.3931	11706.3914	11433.4088	23779.4328	8167.6338	18988.0655	16730.8381	9275.9718	11882.3351	17186.1757	14486.24	12800.925	24745.3191	5035.5872	41115.8168	58156.5615	18287.7795	18765.8543	15270.1839	7918.8859	6444.1513	15633.544	9704.0429	8175.5885	40391.7546	18207.7508	13523.3665	26470.5184	11296.9253	16012.6568	19961.3614	50916.6032	61596.9536	15552.7725	46653.4313	11301.8654	28774.3045	41439.0564	19246.1378	59021.8648	59554.9631	16978.4699	56449.5093	37295.2139	55314.8083	41077.2465	37050.1404	82745.0752	46939.984	66531.8142	64458.5435	29848.2674	79863.2992	30195.1744	31021.6752	29476.7946	22092.2577	27280.205	33056.259	24154.8229	19081.3319	14769.1084	16398.4322	19678.5188
PWY-5189	4569.8594	5716.6008	27407.0486	22319.5119	15312.9978	84062.3563	64659.7222	40466.1106	22778.5318	44026.1791	20690.4333	30215.1548	23405.4981	16702.5077	18941.9657	17040.1101	16828.2398	23921.3875	17422.5432	11442.8529	11773.3395	12848.5181	39243.9231	14378.9024	20814.5053	11130.5969	22312.8885	35226.8076	1439.4497	14891.9905	34743.833	12116.4299	6852.5767	11568.4774	8681.7289	23039.1787	7139.84	9612.1456	396.7366	8655.51	25520.9482	21669.1724	11895.7432	7583.5156	5828.0747	18078.6546	18534.0397	25480.4207	17951.9772	25264.8693	5496.2846	14326.7517	11315.9995	10878.5229	22885.2388	7804.9772	18032.977	15771.4873	8848.9892	11325.2691	16258.8781	13617.5034	12228.3432	23680.6793	4586.9871	38547.1053	54544.1179	17507.7986	17759.8893	14549.4154	7529.5519	6674.0534	15084.8893	8975.6612	7698.2543	38273.8763	17443.7076	12842.0058	25373.25	10807.726	15152.2009	19476.2406	48829.5717	57673.8108	14748.2694	44613.9284	10754.4892	26955.4654	38783.7705	18233.0056	56226.7453	56749.0947	16169.2764	53159.1253	34963.7463	52855.1275	38358.233	35487.731	81156.3458	44503.3106	63128.2065	61096.2916	28897.7119	74411.8179	29226.7599	29582.5915	28668.9218	21435.3531	26056.3047	31830.8247	23345.8945	18348.8242	13956.1615	15626.7903	18878.8585
